feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,user_id,file_id,true_label,file_type,risk_level,file_size_kb,source,nb_features,has_js,has_embedded_files
0.5590589931278325,0.47405081548391104,0.6578642226381394,0.9416936559448428,0.1278302911136543,0.8993492998782098,0.19381744608703344,0.2152358023929356,0.7974271778127338,0.8895606568006864,0.1442469836689103,0.07327987051485008,0.617752692057868,0.7732396315192889,0.28999627262401695,0.5490089988052619,0.25415828206735347,0.273894592912836,0.3632194993971434,0.06548681968621561,0.22782727619134036,0.2680623389490142,user_1,file_1,0,doc,high,1193,email,22,False,True
0.4774029540768754,0.2564210309293583,0.964782776081364,0.5225423104271161,0.780005591186091,0.839452906239658,0.2697697441660062,0.29176048696300094,0.2696215802419123,0.3248800195245186,0.7155935400765757,0.1037448504165337,0.3096188901422351,0.5612652061095543,0.4540394105179346,0.9072951010368341,0.6448097601768855,0.759730687247485,0.6497344878426682,0.6924690832502295,0.4845985983802199,0.8470202499002124,user_1,file_2,1,doc,low,410,email,22,False,True
0.32166570712443987,0.14185407137195616,0.7373323381298194,0.633388248468054,0.8322559747612581,0.13332791881911454,0.5823077389940999,0.5406961559459433,0.6652285912803954,0.18695824703234165,0.07029780373751582,0.31879270915303093,0.3482929145745479,0.23174298386224568,0.858598115082754,0.1647863890704886,0.6461258707836859,0.08716453958170733,0.1761850108369043,0.2873277476644204,0.7420195166859841,0.32475307059032565,user_1,file_3,0,pdf,high,394,usb,22,False,False
0.976204576185259,0.3124973875395284,0.29944137033196394,0.26748034699100365,0.7870156310207946,0.9527888732177893,0.24150650304930532,0.33547678243024437,0.288637768842421,0.09718425091320781,0.20656008321419417,0.34479275535575926,0.5536960168133684,0.6802843425990864,0.6427307267990691,0.93883525036089,0.36833894743980033,0.6506780445031844,0.27392383466552306,0.8519685996851256,0.414738391191806,0.8637506604800163,user_1,file_4,1,xls,low,193,web,22,False,True
0.9004183959436677,0.9502219881343906,0.5419389370833951,0.38975524489509517,0.2958349972093638,0.5183424358340738,0.24104186559620222,0.7010002789652312,0.7249423932461078,0.7146124019013562,0.25289744080620535,0.02495409483361355,0.27945981888337756,0.7155849255896577,0.24571791589610048,0.018703170039439554,0.8258619290765582,0.35743703804903093,0.7648333964051333,0.09355814449822286,0.32822548543184793,0.027623921135828455,user_1,file_5,1,pdf,high,376,email,22,True,True
0.9482277486133569,0.21542944953815968,0.13145928816831365,0.4130589814462663,0.10736292402844527,0.8776432235739761,0.6797802285591767,0.4373772187130016,0.8568597575288012,0.9778672467910128,0.10395682375718673,0.8323949947275354,0.4071548114913681,0.8098305437754774,0.978382440142969,0.34757932561890226,0.49971489824436033,0.016252239787055367,0.7265137961976497,0.7091446168199318,0.031659273932774235,0.8209882652529289,user_1,file_6,0,pdf,medium,378,email,22,False,True
0.7568094456143384,0.9933302263327601,0.44739381371559284,0.5937333805142552,0.2827970952664054,0.2057486298486325,0.995993688577073,0.5999629145573875,0.241666271069214,0.3547731655025418,0.9825141937098851,0.8759496831164404,0.5483702264126564,0.2988063840509735,0.6764988860649346,0.39067017642540514,0.11922000761226204,0.7004105406301712,0.6650311819069339,0.4890313473414838,0.4877627004270825,0.889058359183378,user_1,file_7,0,pdf,medium,311,usb,22,False,True
0.6305314921798937,0.41258914297195404,0.5957114740819885,0.0260840816324035,0.25601797810812066,0.4372715048756235,0.3687523249961978,0.9207333432702757,0.3044539377726002,0.1194453469026232,0.627924926975662,0.19509710300086958,0.021581983741444488,0.8615880418192857,0.9146794663794813,0.07819414346961617,0.7433521641136748,0.26667722391212634,0.9296156620675567,0.10975150571819836,0.3095828235817286,0.43058398398672015,user_1,file_8,1,pdf,low,1484,usb,22,True,False
0.6294712909620452,0.605501951695055,0.22100309017182507,0.6416553657310481,0.07687413375325736,0.6767160680518045,0.7966787745935462,0.4760575410767295,0.836803597702217,0.627886891182086,0.26789118558302183,0.7531658270975699,0.55296502762423,0.7827480818334039,0.02520155581591932,0.6793324353333424,0.849131464648766,0.4663867616716775,0.5024139046975575,0.6042526923853523,0.49663256158190927,0.25362872307451767,user_1,file_9,1,doc,high,949,web,22,True,False
0.3581861170670413,0.6395895874467821,0.5706877535166893,0.6934599857673827,0.42131653193087937,0.1489640460301691,0.3241925143138079,0.5936178695090357,0.693674978903163,0.03644907430614042,0.9726475346669952,0.304408232477023,0.6116109835737146,0.7050450281982338,0.9188934792283799,0.9041196543937323,0.7768758689910735,0.05118878553596229,0.9667072235005515,0.1902537640227394,0.5166129664325316,0.03410210058609442,user_1,file_10,1,pdf,high,305,email,22,True,True
